"날짜","종가","시가","고가","저가","거래량","변동 %"
"2017- 10- 01","254.37","251.49","254.70","251.29","325.96M","1.25%"
"2017- 09- 24","251.23","249.15","251.32","248.08","322.50M","0.72%"
"2017- 09- 17","249.44","249.61","250.19","248.92","252.34M","0.10%"
"2017- 09- 10","249.19","248.04","250.32","248.02","378.37M","1.06%"
"2017- 09- 03","246.58","247.26","247.52","244.95","271.18M","-0.51%"
"2017- 08- 27","247.84","245.17","248.33","242.93","319.54M","1.34%"
"2017- 08- 20","244.56","242.64","245.62","241.83","294.00M","0.76%"
"2017- 08- 13","242.71","245.59","247.57","242.20","450.49M","-0.58%"
"2017- 08- 06","244.12","247.49","248.91","243.70","351.70M","-1.33%"
"2017- 07- 30","247.41","247.37","247.79","246.37","269.15M","0.20%"
"2017- 07- 23","246.91","246.79","248.00","245.68","269.97M","0.01%"
"2017- 07- 16","246.88","245.47","247.42","244.67","263.15M","0.54%"
"2017- 07- 09","245.56","241.95","245.97","240.85","246.36M","1.42%"
"2017- 07- 02","242.11","242.88","243.38","240.34","217.67M","0.13%"
"2017- 06- 25","241.80","243.90","244.38","239.96","402.76M","-0.55%"
"2017- 06- 18","243.13","243.59","244.73","242.41","289.14M","0.20%"
"2017- 06- 11","242.64","243.13","244.87","241.63","375.80M","-0.32%"
"2017- 06- 04","243.41","243.97","245.01","241.95","347.43M","-0.31%"
"2017- 05- 28","244.17","241.34","244.35","240.64","284.63M","1.02%"
"2017- 05- 21","241.71","238.90","242.08","238.82","269.23M","1.43%"
"2017- 05- 14","238.31","239.47","240.67","235.43","507.39M","-0.28%"
"2017- 05- 07","238.98","239.75","240.19","238.13","270.31M","-0.30%"
"2017- 04- 30","239.70","238.68","239.72","237.70","320.86M","0.68%"
"2017- 04- 23","238.08","237.18","239.53","234.56","401.55M","1.49%"
"2017- 04- 16","234.59","233.11","235.84","232.88","423.29M","0.89%"
"2017- 04- 09","232.51","235.36","236.25","232.51","330.41M","-1.14%"
"2017- 04- 02","235.20","235.80","237.39","233.91","394.36M","-0.23%"
"2017- 03- 26","235.74","231.93","236.52","231.61","373.36M","0.80%"
"2017- 03- 19","233.86","237.03","237.61","232.96","494.83M","-1.34%"
"2017- 03- 12","237.03","237.62","239.44","236.19","380.57M","-0.28%"
"2017- 03- 05","237.69","237.50","238.12","235.74","371.34M","-0.31%"
"2017- 02- 26","238.42","236.64","240.32","236.01","454.86M","0.71%"
