"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 11- 08","24,955","24,430","24,975","24,385","522.49K","3.14%"
"2020- 11- 01","24,195","22,825","24,355","22,720","546.30K","6.33%"
"2020- 10- 25","22,755","23,725","23,820","22,705","389.20K","-3.91%"
"2020- 10- 18","23,680","23,520","23,785","23,255","533.55K","0.72%"
"2020- 10- 11","23,510","24,000","24,180","23,285","288.11K","-1.65%"
"2020- 10- 04","23,905","23,255","24,055","23,255","430.09K","2.38%"
"2020- 09- 27","23,350","22,985","23,435","22,925","111.18K","2.41%"
"2020- 09- 20","22,800","24,055","24,280","22,680","655.35K","-5.26%"
"2020- 09- 13","24,065","24,130","24,465","23,975","429.27K","0.67%"
"2020- 09- 06","23,905","23,720","24,080","23,575","608.58K","0.82%"
"2020- 08- 30","23,710","23,675","24,000","23,235","384.48K","0.74%"
"2020- 08- 23","23,535","23,065","23,810","22,835","371.70K","1.99%"
"2020- 08- 16","23,075","24,075","24,170","22,720","354.27K","-4.29%"
"2020- 08- 09","24,110","23,510","24,570","23,475","1.38M","2.53%"
"2020- 08- 02","23,515","22,520","23,600","22,400","1.31M","4.33%"
"2020- 07- 26","22,540","21,975","22,790","21,975","780.59K","2.43%"
"2020- 07- 19","22,005","22,075","22,365","21,835","1.09M","0.11%"
"2020- 07- 12","21,980","21,695","22,190","21,630","817.96K","2.09%"
"2020- 07- 05","21,530","21,640","22,045","21,415","251.26K","-0.39%"
"2020- 06- 28","21,615","21,200","21,615","20,985","562.58K","0.96%"
"2020- 06- 21","21,410","21,335","21,805","21,165","572.86K","-0.51%"
"2020- 06- 14","21,520","21,255","21,590","20,405","836.77K","0.75%"
"2020- 06- 07","21,360","22,205","22,230","20,860","804.04K","-2.29%"
"2020- 05- 31","21,860","20,415","21,960","20,395","2.68M","7.05%"
"2020- 05- 24","20,420","19,830","20,595","19,735","1.43M","3.18%"
"2020- 05- 17","19,790","19,435","20,125","19,285","533.70K","2.09%"
"2020- 05- 10","19,385","19,610","19,655","19,000","947.83K","-0.87%"
"2020- 05- 03","19,555","19,180","19,625","19,035","651.03K","-0.13%"
"2020- 04- 26","19,580","19,450","19,715","19,175","234.39K","1.11%"
"2020- 04- 19","19,365","19,615","19,710","18,840","570.98K","-1.27%"
"2020- 04- 12","19,615","19,045","19,695","18,670","1.04M","2.94%"
"2020- 04- 05","19,055","17,800","19,055","17,800","2.67M","8.08%"
"2020- 03- 29","17,630","17,080","18,030","17,030","1.41M","0.23%"
"2020- 03- 22","17,590","14,930","17,980","14,930","1.95M","9.56%"
"2020- 03- 15","16,055","18,280","18,485","14,735","2.44M","-11.54%"
"2020- 03- 08","18,150","20,385","20,385","17,205","2.83M","-13.03%"
"2020- 03- 01","20,870","20,365","21,330","20,155","946.89K","2.66%"
"2020- 02- 23","20,330","21,575","21,670","20,260","998.24K","-8.05%"
"2020- 02- 16","22,110","22,890","22,955","22,055","582.64K","-3.45%"
"2020- 02- 09","22,900","22,325","23,005","22,245","350.86K","1.33%"
"2020- 02- 02","22,600","21,350","22,730","21,275","534.12K","4.24%"
"2020- 01- 26","21,680","22,340","22,460","21,675","637.96K","-5.57%"
"2020- 01- 19","22,960","23,115","23,210","22,815","388.80K","0.00%"
"2020- 01- 12","22,960","22,545","23,135","22,510","927.62K","1.84%"
"2020- 01- 05","22,545","21,995","22,545","21,845","1.31M","1.42%"
"2019- 12- 29","22,230","22,485","22,555","22,100","1.63M","-1.09%"
"2019- 12- 22","22,475","22,255","22,595","21,980","1.39M","1.31%"
"2019- 12- 15","22,185","21,830","22,195","21,780","589.43K","1.72%"
"2019- 12- 08","21,810","21,000","21,835","20,930","878.37K","4.03%"
"2019- 12- 01","20,965","21,095","21,170","20,670","370.82K","-0.33%"
"2019- 11- 24","21,035","21,275","21,530","20,995","649.12K","-0.54%"
"2019- 11- 17","21,150","21,720","21,770","21,010","1.65M","-2.80%"
"2019- 11- 10","21,760","21,535","21,765","21,305","2.31M","1.28%"
"2019- 11- 03","21,485","21,220","21,690","21,220","1.62M","1.63%"
"2019- 10- 27","21,140","21,020","21,190","20,875","2.32M","0.59%"
"2019- 10- 20","21,015","20,805","21,050","20,720","2.16M","1.30%"
"2019- 10- 13","20,745","20,780","21,015","20,695","591.50K","0.80%"
"2019- 10- 06","20,580","20,420","20,675","20,275","271.47K","1.18%"
"2019- 09- 29","20,340","20,535","20,895","20,325","403.03K","-1.21%"
"2019- 09- 22","20,590","20,945","21,070","20,565","327.13K","-1.79%"
"2019- 09- 15","20,965","20,680","21,000","20,530","1.29M","1.90%"
"2019- 09- 08","20,575","20,235","20,575","20,215","937.70K","1.93%"
"2019- 09- 01","20,185","19,730","20,245","19,655","622.45K","2.05%"
"2019- 08- 25","19,780","19,200","19,790","19,200","170.60K","1.00%"
"2019- 08- 18","19,585","19,470","19,795","19,415","360.23K","1.19%"
"2019- 08- 11","19,355","19,630","19,630","19,210","775.41K","-0.72%"
"2019- 08- 04","19,495","19,960","19,960","19,020","1.78M","-2.72%"
"2019- 07- 28","20,040","20,635","20,710","19,980","498.63K","-3.47%"
"2019- 07- 21","20,760","20,980","21,145","20,665","55.50K","-1.19%"
"2019- 07- 14","21,010","20,930","21,040","20,700","552.58K","0.21%"
