"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 01- 29","258.35","244.51","264.69","242.20","152.69M","4.11%"
"2023- 01- 22","248.16","241.10","249.83","230.90","198.65M","3.31%"
"2023- 01- 15","240.22","237.97","242.38","230.68","123.87M","0.41%"
"2023- 01- 08","239.23","226.45","239.90","226.41","131.68M","6.36%"
"2023- 01- 01","224.93","243.08","245.75","219.35","159.56M","-6.21%"
"2022- 12- 25","239.82","238.70","241.92","234.17","75.85M","0.46%"
"2022- 12- 18","238.73","244.86","245.62","233.87","128.40M","-2.44%"
"2022- 12- 11","244.69","247.44","263.92","243.51","229.94M","-0.30%"
"2022- 12- 04","245.42","252.01","253.82","242.21","109.60M","-3.76%"
"2022- 11- 27","255.02","246.08","256.12","238.21","137.93M","3.04%"
"2022- 11- 20","247.49","241.43","248.70","240.71","74.77M","2.60%"
"2022- 11- 13","241.22","241.99","247.00","237.63","137.34M","-2.38%"
"2022- 11- 06","247.11","221.99","247.99","221.28","170.43M","11.62%"
"2022- 10- 30","221.39","233.76","235.74","213.43","170.78M","-6.14%"
"2022- 10- 23","235.87","243.76","251.04","225.78","223.44M","-2.58%"
"2022- 10- 16","242.12","235.82","243.93","234.29","122.57M","5.93%"
"2022- 10- 09","228.56","233.05","237.24","219.13","154.87M","-2.42%"
"2022- 10- 02","234.24","235.41","250.58","233.17","142.13M","0.58%"
"2022- 09- 25","232.90","237.04","242.33","232.73","146.92M","-2.11%"
"2022- 09- 18","237.92","242.47","247.66","235.20","147.35M","-2.79%"
"2022- 09- 11","244.74","265.78","267.45","242.06","147.34M","-7.46%"
"2022- 09- 04","264.46","256.20","265.23","251.94","87.87M","3.28%"
"2022- 08- 28","256.06","265.85","267.40","254.47","114.02M","-4.49%"
"2022- 08- 21","268.09","282.08","282.46","267.98","104.86M","-6.31%"
"2022- 08- 14","286.15","291.00","294.18","285.56","92.20M","-1.97%"
"2022- 08- 07","291.91","284.05","291.91","277.61","109.54M","3.18%"
"2022- 07- 31","282.91","277.82","283.80","272.38","102.69M","0.77%"
"2022- 07- 24","280.74","261.00","282.00","249.57","172.01M","7.83%"
"2022- 07- 17","260.36","259.75","265.33","253.30","113.06M","1.42%"
