"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 11- 28","76.84","77.86","77.95","75.54","13.03M","-0.58%"
"2021- 11- 21","77.29","78.33","79.32","76.93","7.93M","-1.11%"
"2021- 11- 14","78.16","79.36","79.62","78.10","6.91M","-1.24%"
"2021- 11- 07","79.14","79.03","79.32","78.43","6.96M","0.32%"
"2021- 10- 31","78.89","77.70","79.28","77.45","7.50M","1.78%"
"2021- 10- 24","77.51","78.11","78.31","76.87","6.83M","-0.63%"
"2021- 10- 17","78.00","76.66","78.23","76.36","7.71M","1.30%"
"2021- 10- 10","77.00","76.09","77.25","74.69","7.10M","1.25%"
"2021- 10- 03","76.05","75.18","76.61","74.41","9.99M","1.09%"
"2021- 09- 26","75.23","75.48","76.11","74.06","14.61M","-0.28%"
"2021- 09- 19","75.44","74.52","75.71","73.69","12.34M","-0.15%"
"2021- 09- 12","75.55","76.51","76.75","75.36","8.56M","-0.63%"
"2021- 09- 05","76.03","77.66","77.66","76.01","5.91M","-2.26%"
"2021- 08- 29","77.79","77.87","77.99","77.11","6.68M","0.06%"
"2021- 08- 22","77.74","77.28","77.81","77.04","6.67M","1.07%"
"2021- 08- 15","76.92","77.65","78.13","75.85","7.91M","-1.17%"
"2021- 08- 08","77.83","76.56","77.89","76.30","6.01M","1.66%"
"2021- 08- 01","76.56","76.44","76.88","75.74","7.15M","0.59%"
"2021- 07- 25","76.11","75.70","76.48","75.34","5.68M","0.40%"
"2021- 07- 18","75.81","74.64","76.02","73.69","9.95M","0.48%"
"2021- 07- 11","75.45","75.83","76.32","75.34","6.67M","-0.76%"
"2021- 07- 04","76.03","75.96","76.08","74.52","6.37M","-0.05%"
"2021- 06- 27","76.07","75.60","76.17","75.11","8.06M","0.73%"
"2021- 06- 20","75.52","74.51","75.61","74.48","8.21M","2.10%"
"2021- 06- 13","73.97","77.28","77.28","73.92","10.26M","-4.35%"
"2021- 06- 06","77.33","77.69","77.77","76.88","7.22M","-0.41%"
"2021- 05- 30","77.65","77.47","77.68","76.68","6.43M","0.94%"
"2021- 05- 23","76.93","77.25","77.34","76.23","7.95M","0.16%"
"2021- 05- 16","76.81","77.30","77.50","75.14","9.52M","-0.71%"
"2021- 05- 09","77.36","77.75","78.41","75.20","12.61M","-0.06%"
"2021- 05- 02","77.41","74.94","77.49","74.93","10.14M","3.86%"
"2021- 04- 25","74.53","75.04","75.20","74.22","9.17M","-0.57%"
"2021- 04- 18","74.96","75.01","75.29","74.17","10.15M","-0.31%"
"2021- 04- 11","75.19","74.24","75.30","73.80","8.50M","1.25%"
"2021- 04- 04","74.26","73.86","74.42","73.51","9.82M","1.28%"
"2021- 03- 28","73.32","73.20","73.81","72.62","9.43M","-0.48%"
"2021- 03- 21","73.67","71.94","73.74","70.74","11.82M","2.35%"
"2021- 03- 14","71.98","72.67","73.27","71.46","14.55M","-0.79%"
"2021- 03- 07","72.55","70.52","72.60","70.34","13.64M","3.39%"
"2021- 02- 28","70.17","68.28","70.38","67.32","13.57M","4.09%"
"2021- 02- 21","67.41","67.59","69.79","66.95","14.60M","-0.56%"
"2021- 02- 14","67.79","67.36","67.94","66.85","5.58M","1.15%"
"2021- 02- 07","67.02","66.38","67.28","66.19","7.23M","1.50%"
"2021- 01- 31","66.03","64.07","66.29","63.42","8.73M","3.89%"
"2021- 01- 24","63.56","65.57","66.14","63.36","11.42M","-3.29%"
"2021- 01- 17","65.72","66.28","66.49","65.13","6.69M","-0.23%"
"2021- 01- 10","65.87","65.32","67.05","65.15","8.21M","0.20%"
"2021- 01- 03","65.74","64.39","66.19","62.64","10.33M","2.49%"
"2020- 12- 27","64.14","64.23","64.46","63.25","5.01M","0.49%"
"2020- 12- 20","63.83","63.24","63.96","62.54","5.02M","-0.17%"
"2020- 12- 13","63.94","64.50","64.51","63.08","7.95M","0.06%"
"2020- 12- 06","63.90","65.00","65.56","63.47","8.37M","-1.87%"
"2020- 11- 29","65.12","63.54","65.12","62.71","10.13M","2.26%"
"2020- 11- 22","63.68","62.27","64.42","62.27","6.60M","2.94%"
"2020- 11- 15","61.86","62.53","63.31","61.51","9.96M","0.57%"
