"Date","Price","Open","High","Low","Vol.","Change %"
"03/19/2017","35.16","35.10","35.70","34.93","518.70M","0.46%"
"03/12/2017","35.00","34.71","35.26","34.70","486.16M","0.63%"
"03/05/2017","34.78","34.84","34.99","34.26","398.69M","-0.49%"
"02/26/2017","34.95","34.28","35.07","34.07","511.75M","2.31%"
"02/19/2017","34.16","34.06","34.37","33.82","351.64M","0.68%"
"02/12/2017","33.93","33.27","34.07","33.19","546.67M","2.72%"
"02/05/2017","33.03","32.28","33.23","32.23","545.80M","2.36%"
"01/29/2017","32.27","30.23","32.62","30.16","999.12M","5.84%"
"01/22/2017","30.49","30.00","30.61","29.88","498.99M","1.63%"
"01/15/2017","30.00","29.59","30.12","29.55","465.39M","0.81%"
"01/08/2017","29.76","29.49","29.98","29.48","555.24M","0.95%"
"01/01/2017","29.48","28.95","29.54","28.69","415.38M","1.83%"
"12/25/2016","28.95","29.13","29.50","28.86","339.31M","-0.62%"
"12/18/2016","29.13","28.95","29.38","28.90","453.29M","0.48%"
"12/11/2016","28.99","28.32","29.18","28.12","780.06M","1.76%"
"12/04/2016","28.49","27.50","28.68","27.06","607.96M","3.68%"
"11/27/2016","27.48","27.86","28.12","27.21","622.00M","-1.68%"
"11/20/2016","27.95","27.53","28.11","27.50","376.53M","1.56%"
"11/13/2016","27.52","26.93","27.64","26.02","793.37M","1.51%"
"11/06/2016","27.11","27.52","27.93","26.46","829.08M","-0.37%"
"10/30/2016","27.21","28.41","28.56","27.03","625.39M","-4.29%"
"10/23/2016","28.43","29.27","29.59","28.33","840.90M","-2.47%"
"10/16/2016","29.15","29.33","29.55","28.45","462.13M","-0.88%"
"10/09/2016","29.41","28.75","29.67","28.68","834.83M","3.12%"
"10/02/2016","28.52","28.18","28.64","28.07","504.12M","0.92%"
"09/25/2016","28.26","27.91","28.66","27.89","625.54M","0.28%"
"09/18/2016","28.18","28.80","29.05","27.89","804.38M","-1.91%"
"09/11/2016","28.73","25.66","29.03","25.63","1.56B","11.44%"
"09/04/2016","25.78","26.98","27.19","25.78","675.21M","-4.27%"
"08/28/2016","26.93","26.66","27.00","26.38","532.00M","0.75%"
"08/21/2016","26.73","27.21","27.33","26.58","494.42M","-2.23%"
"08/14/2016","27.34","27.04","27.56","27.02","529.49M","1.07%"
"08/07/2016","27.05","26.88","27.23","26.79","498.02M","0.67%"
"07/31/2016","26.87","26.10","26.91","26.00","680.60M","3.15%"
"07/24/2016","26.05","24.56","26.14","24.11","1.03B","5.64%"
"07/17/2016","24.66","24.68","25.25","24.58","590.26M","-0.16%"
"07/10/2016","24.70","24.19","24.82","24.18","571.64M","2.19%"
"07/03/2016","24.17","23.85","24.22","23.59","450.82M","0.83%"
"06/26/2016","23.97","23.25","24.12","22.88","741.84M","2.66%"
"06/19/2016","23.35","24.00","24.22","23.16","826.92M","-2.01%"
"06/12/2016","23.83","24.67","24.78","23.82","766.93M","-3.56%"
"06/05/2016","24.71","24.50","25.47","24.39","499.46M","0.94%"
"05/29/2016","24.48","24.90","25.10","24.16","560.71M","-2.43%"
"05/22/2016","25.09","23.97","25.18","23.92","817.89M","5.42%"
"05/15/2016","23.80","23.10","23.86","22.91","850.83M","5.17%"
"05/08/2016","22.63","23.25","23.44","22.37","864.20M","-2.37%"
"05/01/2016","23.18","23.49","23.98","22.96","902.43M","-1.07%"
"04/24/2016","23.43","26.25","26.41","23.13","1.40B","-11.32%"
"04/17/2016","26.42","27.22","27.24","26.16","756.21M","-3.79%"
"04/10/2016","27.46","27.24","28.10","27.16","649.24M","1.10%"
"04/03/2016","27.16","27.61","28.05","27.03","582.89M","-1.24%"
"03/27/2016","27.50","26.50","27.61","26.22","591.86M","4.09%"
"03/20/2016","26.42","26.48","26.91","26.22","479.13M","-0.23%"
"03/13/2016","26.48","25.48","26.62","25.45","728.29M","3.56%"
"03/06/2016","25.57","25.60","25.71","25.04","622.40M","-0.70%"
"02/28/2016","25.75","24.21","25.94","24.16","807.22M","6.27%"
"02/21/2016","24.23","24.08","24.51","23.33","636.21M","0.92%"
"02/14/2016","24.01","23.75","24.72","23.65","673.27M","2.17%"
"02/07/2016","23.50","23.28","24.09","23.15","924.49M","0.00%"
"01/31/2016","23.50","24.12","24.33","23.42","868.62M","-3.45%"
"01/24/2016","24.34","25.38","25.38","23.10","1.52B","-4.02%"
"01/17/2016","25.36","24.60","25.36","23.36","973.54M","4.45%"
"01/10/2016","24.28","24.74","25.30","23.84","1.22B","0.17%"
"01/03/2016","24.24","25.65","26.46","24.11","1.38B","-7.90%"
"12/27/2015","26.32","26.90","27.36","26.20","495.05M","-2.55%"
"12/20/2015","27.01","26.82","27.25","26.39","506.54M","1.89%"
"12/13/2015","26.51","28.05","28.20","26.45","1.26B","-6.33%"
"12/06/2015","28.30","29.75","29.96","28.21","755.42M","-4.91%"
"11/29/2015","29.76","29.50","29.85","28.55","827.06M","1.05%"
"11/22/2015","29.45","29.82","29.93","29.28","438.88M","-1.24%"
"11/15/2015","29.82","27.84","29.98","27.75","759.92M","6.16%"
"11/08/2015","28.09","30.24","30.45","28.07","866.22M","-7.20%"
"11/01/2015","30.27","29.97","30.95","29.90","780.81M","1.31%"
"10/25/2015","29.88","29.52","30.30","28.50","1.29B","0.37%"
"10/18/2015","29.77","27.70","29.81","27.53","888.30M","7.24%"
"10/11/2015","27.76","28.18","28.19","27.39","739.54M","-0.96%"
"10/04/2015","28.03","27.47","28.07","27.05","1.05B","1.59%"
"09/27/2015","27.59","28.46","28.64","26.83","1.26B","-3.80%"
"09/20/2015","28.68","28.42","29.17","28.09","970.78M","1.13%"
"09/13/2015","28.36","29.14","29.22","27.97","1.11B","-0.67%"
"09/06/2015","28.55","27.91","28.55","27.44","1.01B","4.50%"
"08/30/2015","27.32","28.01","28.63","26.84","1.19B","-3.53%"
"08/23/2015","28.32","23.72","28.33","23.00","2.00B","7.11%"
"08/16/2015","26.44","29.01","29.41","26.41","1.28B","-8.80%"
"08/09/2015","28.99","29.13","30.00","27.41","1.38B","0.38%"
"08/02/2015","28.88","30.38","30.64","28.02","1.54B","-4.75%"
"07/26/2015","30.32","30.77","30.98","30.23","766.39M","-2.57%"
"07/19/2015","31.12","32.74","33.24","30.50","1.38B","-3.98%"
"07/12/2015","32.41","31.26","32.41","31.08","756.98M","5.16%"
"07/05/2015","30.82","31.23","31.56","29.80","1.10B","-2.50%"
"06/28/2015","31.61","31.36","31.73","31.12","603.93M","-0.25%"
"06/21/2015","31.69","31.87","32.45","31.63","782.38M","0.13%"
"06/14/2015","31.65","31.52","32.08","31.43","794.10M","-0.44%"
"06/07/2015","31.79","32.23","32.55","31.41","880.46M","-1.15%"
"05/31/2015","32.16","32.80","32.85","32.09","683.36M","-1.26%"
"05/24/2015","32.57","33.15","33.23","32.28","792.59M","-1.69%"
"05/17/2015","33.13","32.09","33.24","32.09","869.19M","2.92%"
"05/10/2015","32.19","31.85","32.37","31.20","833.21M","0.88%"
"05/03/2015","31.91","32.38","32.64","30.84","1.09B","-1.02%"
"04/26/2015","32.24","33.08","33.63","31.14","1.68B","-1.01%"
"04/19/2015","32.57","31.39","32.66","31.29","829.76M","4.42%"
"04/12/2015","31.19","32.09","32.14","31.11","684.74M","-1.83%"
"04/05/2015","31.77","31.12","32.03","31.08","728.83M","1.40%"
"03/29/2015","31.33","31.01","31.62","30.77","648.13M","1.69%"
"03/22/2015","30.81","31.78","32.01","30.65","837.30M","-2.13%"
"03/15/2015","31.48","30.97","32.31","30.72","1.07B","1.88%"
"03/08/2015","30.90","31.99","32.39","30.41","1.31B","-2.37%"
"03/01/2015","31.65","32.31","32.57","31.44","987.75M","-1.46%"
"02/22/2015","32.12","32.51","33.40","31.65","1.47B","-0.77%"
"02/15/2015","32.37","31.87","32.38","31.73","777.42M","1.89%"
"02/08/2015","31.77","29.64","31.87","29.61","1.21B","6.86%"
"02/01/2015","29.73","29.51","30.13","29.02","1.08B","1.50%"
"01/25/2015","29.29","28.43","30.00","27.26","1.86B","3.68%"
"01/18/2015","28.25","26.96","28.44","26.62","794.95M","6.60%"
"01/11/2015","26.50","28.15","28.20","26.30","1.22B","-5.36%"
"01/04/2015","28.00","27.07","28.31","26.16","1.13B","2.45%"
"12/28/2014","27.33","28.45","28.69","26.84","608.35M","-4.11%"
"12/21/2014","28.50","28.04","28.63","27.99","477.59M","1.97%"
"12/14/2014","27.95","27.68","28.31","26.57","1.32B","1.90%"
"12/07/2014","27.43","28.52","28.71","27.34","1.04B","-4.59%"
"11/30/2014","28.75","29.70","29.81","27.82","1.07B","-3.30%"
"11/23/2014","29.73","29.21","29.94","29.16","727.75M","2.09%"
"11/16/2014","29.12","28.57","29.39","28.32","933.66M","2.00%"
"11/09/2014","28.55","27.25","28.55","27.10","820.67M","4.77%"
"11/02/2014","27.25","27.05","27.57","26.93","799.81M","0.93%"
"10/26/2014","27.00","26.21","27.01","26.18","880.92M","2.66%"
"10/19/2014","26.30","24.58","26.37","24.55","1.43B","7.70%"
"10/12/2014","24.42","25.33","25.45","23.80","1.43B","-3.02%"
"10/05/2014","25.18","24.99","25.59","24.58","1.12B","1.08%"
"09/28/2014","24.91","24.66","25.39","24.51","991.00M","-1.11%"
"09/21/2014","25.19","25.45","25.73","24.43","1.36B","-0.20%"
"09/14/2014","25.24","25.70","25.76","24.72","1.19B","-0.67%"
