"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 01- 29","21.10","19.95","21.95","18.95","2.64B","3.61%"
"2023- 01- 22","20.36","18.06","20.63","17.82","2.63B","14.16%"
"2023- 01- 15","17.84","16.90","17.87","16.73","1.97B","5.56%"
"2023- 01- 08","16.90","15.28","16.92","15.14","2.24B","13.73%"
"2023- 01- 01","14.86","14.85","15.01","14.03","1.63B","1.68%"
"2022- 12- 25","14.61","15.07","15.10","13.88","1.48B","-3.89%"
"2022- 12- 18","15.21","16.57","16.63","14.88","2.00B","-8.24%"
"2022- 12- 11","16.57","17.04","18.79","16.41","2.57B","-2.53%"
"2022- 12- 04","17.00","16.68","17.58","15.67","2.06B","0.74%"
"2022- 11- 27","16.88","16.03","17.26","15.52","2.01B","3.72%"
"2022- 11- 20","16.27","15.15","16.53","15.08","1.47B","5.59%"
"2022- 11- 13","15.41","16.22","17.00","15.12","2.93B","-5.62%"
"2022- 11- 06","16.33","14.23","16.39","13.76","2.82B","15.34%"
"2022- 10- 30","14.16","13.78","14.23","12.96","2.70B","2.33%"
"2022- 10- 23","13.83","12.51","13.85","12.06","2.66B","10.97%"
"2022- 10- 16","12.47","11.52","12.77","11.52","3.03B","11.04%"
"2022- 10- 09","11.23","12.04","12.12","10.81","3.42B","-7.03%"
"2022- 10- 02","12.08","12.35","13.66","12.02","2.96B","-0.52%"
"2022- 09- 25","12.14","12.49","12.82","11.95","2.74B","-3.01%"
"2022- 09- 18","12.52","13.01","14.03","12.26","3.32B","-5.17%"
"2022- 09- 11","13.20","14.37","14.55","12.62","2.98B","-8.26%"
"2022- 09- 04","14.39","13.73","14.47","13.35","2.16B","5.42%"
"2022- 08- 28","13.65","16.02","16.34","13.27","3.52B","-16.07%"
"2022- 08- 21","16.26","17.49","17.95","16.24","2.84B","-8.90%"
"2022- 08- 14","17.85","18.70","19.16","17.77","2.21B","-4.60%"
"2022- 08- 07","18.71","17.50","18.72","16.72","3.24B","-1.47%"
"2022- 07- 31","18.99","18.18","19.27","17.99","2.18B","4.55%"
"2022- 07- 24","18.16","17.02","18.24","16.48","2.36B","4.87%"
"2022- 07- 17","17.32","16.30","18.14","16.00","3.23B","9.88%"
"2022- 07- 10","15.76","15.53","15.78","14.47","2.26B","-0.48%"
"2022- 07- 03","15.84","14.18","16.04","14.06","2.14B","9.05%"
"2022- 06- 26","14.52","17.31","17.33","14.39","2.64B","-15.20%"
"2022- 06- 19","17.13","16.47","17.14","15.85","1.86B","7.85%"
"2022- 06- 12","15.88","16.00","16.87","15.33","2.81B","-6.45%"
"2022- 06- 05","16.97","19.14","19.34","16.87","2.04B","-9.33%"
"2022- 05- 29","18.72","18.98","19.62","18.12","2.46B","-0.48%"
"2022- 05- 22","18.81","16.27","18.88","15.78","3.74B","12.68%"
"2022- 05- 15","16.69","17.51","18.37","15.76","3.01B","-5.72%"
"2022- 05- 08","17.71","18.03","18.25","15.57","3.46B","-5.19%"
"2022- 05- 01","18.67","18.54","20.40","17.99","2.96B","0.69%"
"2022- 04- 24","18.55","19.20","20.13","18.29","2.86B","-4.96%"
"2022- 04- 17","19.51","21.20","22.67","19.50","2.79B","-8.20%"
"2022- 04- 10","21.26","22.21","22.78","21.16","2.32B","-8.05%"
"2022- 04- 03","23.12","26.73","27.56","23.06","2.62B","-13.45%"
"2022- 03- 27","26.71","27.76","28.95","26.27","2.42B","-3.54%"
"2022- 03- 20","27.69","26.51","28.36","25.58","3.10B","4.68%"
"2022- 03- 13","26.45","21.87","26.57","21.16","2.75B","19.70%"
"2022- 03- 06","22.10","22.82","23.22","20.65","2.30B","-3.64%"
"2022- 02- 27","22.94","23.99","24.67","22.48","2.08B","-5.05%"
"2022- 02- 20","24.16","23.03","24.22","20.89","2.46B","2.18%"
"2022- 02- 13","23.64","23.93","26.58","23.10","3.45B","-1.28%"
"2022- 02- 06","23.95","24.37","26.92","23.77","2.43B","-1.52%"
"2022- 01- 30","24.32","23.18","25.82","23.05","2.39B","6.48%"
"2022- 01- 23","22.84","22.33","24.06","20.89","3.45B","-2.28%"
"2022- 01- 16","23.37","26.26","26.64","23.26","2.07B","-13.24%"
"2022- 01- 09","26.94","26.58","28.59","25.64","2.32B","-1.12%"
"2022- 01- 02","27.25","29.82","30.71","27.06","2.28B","-7.36%"
"2021- 12- 26","29.41","29.66","31.33","29.33","1.74B","-0.77%"
"2021- 12- 19","29.64","27.31","30.06","27.15","1.72B","6.61%"
"2021- 12- 12","27.80","30.25","31.16","27.25","3.39B","-7.94%"
"2021- 12- 05","30.20","29.88","32.45","28.04","2.70B","-1.61%"
"2021- 11- 28","30.69","32.37","33.41","30.13","2.58B","-2.57%"
"2021- 11- 21","31.50","33.52","34.65","30.88","2.00B","-4.49%"
"2021- 11- 14","32.99","30.55","33.09","28.80","2.39B","8.54%"
"2021- 11- 07","30.39","30.15","32.31","28.78","2.53B","2.14%"
"2021- 10- 31","29.75","25.65","31.40","25.23","2.80B","16.37%"
"2021- 10- 24","25.57","22.97","25.71","22.77","1.49B","12.50%"
"2021- 10- 17","22.73","21.75","23.13","21.64","934.22M","3.95%"
"2021- 10- 10","21.86","20.58","21.93","20.51","976.76M","4.95%"
"2021- 10- 03","20.83","20.50","21.32","19.56","1.33B","0.43%"
"2021- 09- 26","20.74","21.71","21.80","20.20","1.27B","-6.06%"
"2021- 09- 19","22.08","21.15","22.53","20.66","1.29B","0.83%"
"2021- 09- 12","21.90","22.68","22.96","21.83","1.11B","-2.57%"
"2021- 09- 05","22.48","22.83","22.90","21.98","897.77M","-1.60%"
"2021- 08- 29","22.84","22.83","23.04","22.12","1.19B","0.91%"
"2021- 08- 22","22.64","20.97","22.72","20.95","1.76B","8.74%"
"2021- 08- 15","20.82","20.14","20.87","18.76","2.14B","3.11%"
"2021- 08- 08","20.19","20.45","20.51","19.43","846.53M","-0.87%"
"2021- 08- 01","20.37","19.70","20.73","19.22","1.14B","4.45%"
"2021- 07- 25","19.50","19.31","19.85","18.74","1.03B","-0.30%"
"2021- 07- 18","19.56","17.92","19.89","17.87","2.07B","7.69%"
"2021- 07- 11","18.16","20.24","20.53","18.07","2.23B","-9.42%"
"2021- 07- 04","20.05","20.74","20.88","19.70","1.67B","-2.13%"
"2021- 06- 27","20.49","19.36","20.51","19.32","2.01B","7.65%"
"2021- 06- 20","19.03","18.44","19.42","17.82","2.18B","2.10%"
"2021- 06- 13","18.64","17.91","19.38","17.58","2.65B","4.56%"
"2021- 06- 06","17.83","17.57","17.94","17.18","1.99B","1.41%"
"2021- 05- 30","17.58","16.27","17.66","15.90","2.26B","8.21%"
"2021- 05- 23","16.24","15.21","16.28","15.18","2.59B","8.36%"
"2021- 05- 16","14.99","14.16","15.22","13.54","1.74B","5.26%"
"2021- 05- 09","14.24","14.79","14.81","13.46","1.40B","-3.84%"
"2021- 05- 02","14.81","15.13","15.25","14.01","1.32B","-1.31%"
"2021- 04- 25","15.01","15.19","15.67","15.00","946.89M","-1.68%"
"2021- 04- 18","15.27","15.54","15.81","14.78","1.46B","-4.07%"
"2021- 04- 11","15.91","14.29","16.21","14.14","2.86B","10.50%"
"2021- 04- 04","14.40","13.87","14.47","13.71","1.14B","4.26%"
"2021- 03- 28","13.81","12.82","13.87","12.70","1.10B","7.57%"
"2021- 03- 21","12.84","12.91","13.39","12.27","1.42B","-0.05%"
"2021- 03- 14","12.85","12.86","13.51","12.61","1.33B","-0.08%"
"2021- 03- 07","12.86","12.45","13.05","11.57","1.99B","3.17%"
"2021- 02- 28","12.46","13.88","13.93","11.68","2.11B","-9.14%"
"2021- 02- 21","13.71","14.77","15.13","13.22","2.49B","-8.12%"
"2021- 02- 14","14.93","15.06","15.37","14.57","1.10B","-0.23%"
"2021- 02- 07","14.96","13.73","15.29","13.73","2.03B","10.08%"
"2021- 01- 31","13.59","13.05","13.93","12.90","1.05B","4.63%"
"2021- 01- 24","12.99","13.78","13.83","12.79","1.29B","-5.27%"
"2021- 01- 17","13.71","13.02","14.00","12.84","1.07B","6.63%"
"2021- 01- 10","12.86","13.42","13.96","12.85","1.58B","-3.14%"
"2021- 01- 03","13.28","13.10","13.65","12.59","2.22B","1.70%"
"2020- 12- 27","13.06","13.06","13.21","12.76","800.76M","0.47%"
"2020- 12- 20","12.99","13.07","13.37","12.94","765.67M","-2.10%"
"2020- 12- 13","13.27","13.09","13.46","13.07","1.26B","1.99%"
"2020- 12- 06","13.01","13.60","13.73","12.82","1.31B","-4.02%"
"2020- 11- 29","13.56","13.27","13.67","12.97","1.27B","2.24%"
"2020- 11- 22","13.26","13.17","13.41","12.89","1.14B","1.33%"
"2020- 11- 15","13.09","13.17","13.65","13.06","2.14B","-1.57%"
"2020- 11- 08","13.30","14.55","14.69","12.63","2.35B","-8.69%"
"2020- 11- 01","14.56","12.66","14.59","12.40","1.69B","16.18%"
"2020- 10- 25","12.53","13.43","13.69","12.30","1.70B","-7.77%"
"2020- 10- 18","13.59","13.90","13.98","13.23","1.27B","-1.60%"
"2020- 10- 11","13.81","13.99","14.35","13.77","1.57B","0.35%"
"2020- 10- 04","13.76","13.24","14.14","13.22","2.41B","5.36%"
"2020- 09- 27","13.06","13.04","13.76","12.75","2.96B","1.46%"
"2020- 09- 20","12.87","11.93","12.88","11.90","3.33B","5.62%"
"2020- 09- 13","12.19","13.08","13.31","11.99","3.98B","0.20%"
"2020- 09- 06","12.16","11.73","13.07","11.70","2.87B","-3.63%"
"2020- 08- 30","12.62","13.18","14.73","11.70","4.30B","-3.99%"
"2020- 08- 23","13.15","12.88","13.15","12.51","1.96B","3.66%"
"2020- 08- 16","12.68","11.85","12.81","11.82","3.67B","9.68%"
"2020- 08- 09","11.56","11.33","11.72","10.80","1.99B","3.25%"
"2020- 08- 02","11.20","10.73","11.50","10.72","1.56B","5.51%"
"2020- 07- 26","10.61","10.23","10.77","10.21","1.54B","4.12%"
"2020- 07- 19","10.19","10.27","10.60","9.78","1.81B","-0.07%"
"2020- 07- 12","10.20","10.60","10.79","9.79","2.01B","-2.65%"
"2020- 07- 05","10.48","9.74","10.66","9.71","2.03B","9.02%"
"2020- 06- 28","9.61","9.17","9.74","8.90","1.40B","4.99%"
"2020- 06- 21","9.15","9.30","9.64","9.13","2.19B","-1.15%"
"2020- 06- 14","9.26","8.82","9.44","8.74","2.12B","3.68%"
"2020- 06- 07","8.93","8.88","9.50","8.69","2.64B","0.14%"
"2020- 05- 31","8.92","8.83","9.00","8.66","2.05B","0.50%"
"2020- 05- 24","8.88","9.16","9.18","8.00","3.43B","-1.67%"
"2020- 05- 17","9.03","8.76","9.09","8.68","3.88B","6.31%"
"2020- 05- 10","8.49","7.81","8.50","7.59","3.18B","8.68%"
"2020- 05- 03","7.81","7.02","7.82","7.02","1.72B","10.51%"
"2020- 04- 26","7.07","7.37","7.61","7.02","2.02B","-2.35%"
"2020- 04- 19","7.24","7.18","7.34","6.68","2.45B","-0.93%"
"2020- 04- 12","7.31","6.51","7.47","6.43","2.58B","11.17%"
"2020- 04- 05","6.57","6.38","6.96","6.32","2.58B","7.81%"
"2020- 03- 29","6.10","6.38","6.88","5.96","3.55B","-3.49%"
"2020- 03- 22","6.32","5.14","6.58","4.96","3.88B","22.83%"
"2020- 03- 15","5.14","5.31","5.76","4.52","4.01B","-14.57%"
"2020- 03- 08","6.02","6.00","6.53","5.39","3.15B","-9.47%"
"2020- 03- 01","6.65","6.92","7.12","6.45","3.20B","-1.49%"
"2020- 02- 23","6.75","6.75","7.05","6.04","4.70B","-8.16%"
"2020- 02- 16","7.35","7.14","7.91","7.12","2.90B","1.48%"
"2020- 02- 09","7.24","6.31","7.37","6.31","3.11B","15.18%"
"2020- 02- 02","6.29","5.89","6.36","5.89","1.14B","6.41%"
"2020- 01- 26","5.91","5.96","6.23","5.81","1.70B","-5.61%"
"2020- 01- 19","6.26","6.20","6.49","6.16","1.08B","0.48%"
"2020- 01- 12","6.23","6.19","6.32","6.11","1.48B","2.03%"
"2020- 01- 05","6.11","5.81","6.21","5.78","1.43B","3.49%"
"2019- 12- 29","5.90","5.90","6.00","5.75","932.91M","-0.34%"
"2019- 12- 22","5.92","6.01","6.05","5.90","932.28M","-1.04%"
"2019- 12- 15","5.98","5.65","6.01","5.62","2.05B","6.87%"
"2019- 12- 08","5.60","5.28","5.72","5.27","1.57B","5.57%"
